handle,title,productType,sourceUrl,reason
dtfva-custom-dtf-gang-sheets-fast-reliable-transfer-printing,Custom DTF Gang Sheets 46″ Builder,Gang Sheet,https://dtfvirginia.com/products/custom-dtf-gang-sheets-fast-reliable-transfer-printing,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-dtf-gang-sheets-dtf-virginia,Custom DTF Gang Sheets 46″,Gang Sheet,https://dtfvirginia.com/products/custom-dtf-gang-sheets-dtf-virginia,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-america-s-250th-anniversary-patch-1-inch-circle,"America’s 250th Anniversary Patch – 1"" Circle",Competitor Parity,https://dtfvirginia.com/products/america-s-250th-anniversary-patch-1-inch-circle,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-printed-custom-leather-hat-patches,UV-Printed Custom Leather Hat Patches,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/uv-printed-custom-leather-hat-patches,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-printed-custom-leather-patches,UV-Printed Custom Leather Hat Patches,Gang Sheet,https://dtfvirginia.com/products/uv-printed-custom-leather-patches,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-printed-custom-tpu-patches,UV-Printed Custom TPU Patches,Gang Sheet,https://dtfvirginia.com/products/uv-printed-custom-tpu-patches,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-uv-printed-custom-tpu-patches-1,UV-Printed Custom TPU Patches,kixxl_rolling_canvas_product_hidden,https://dtfvirginia.com/products/uv-printed-custom-tpu-patches-1,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-brand-starter-pack,PRO Branding Kit - Starter Pack,Competitor Parity,https://dtfvirginia.com/products/brand-starter-pack,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-brand-growth-pack,GURU Branding Kit - Brand Growth Pack,Competitor Parity,https://dtfvirginia.com/products/brand-growth-pack,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-brand-business-pack,Merch Branding Kit - Brand Business Pack,Competitor Parity,https://dtfvirginia.com/products/brand-business-pack,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-22-inch-uv-dtf-sticker-sheet-builder,"22"" UV DTF Sticker Sheet Builder",Gang Sheet,https://dtfvirginia.com/products/22-inch-uv-dtf-sticker-sheet-builder,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-dtf-gang-sheets-printing-service,"Custom DTF Gang Sheets 22"" Builder",Gang Sheet,https://dtfvirginia.com/products/custom-dtf-gang-sheets-printing-service,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-fluorescent-dtf-printing-build-bold-bright-designs,"Fluorescent DTF Printing – Build Bold, Bright, and Stunning designs",Gang Sheet,https://dtfvirginia.com/products/fluorescent-dtf-printing-build-bold-bright-designs,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-glitter-dtf-transfers-builder,"Glitter DTF Transfers 22"" Builder",Competitor Parity,https://dtfvirginia.com/products/glitter-dtf-transfers-builder,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-next-level-3600,Next Level 3600 - Cotton Crew T-Shirt,Competitor Parity,https://dtfvirginia.com/products/next-level-3600,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-gildan-64000,Gildan 64000 - Unisex Softstyle® T-Shirt,Competitor Parity,https://dtfvirginia.com/products/gildan-64000,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-shaka-wear-drop-shoulder-cropped-t-shirt-premium-blank,Custom Shaka Wear Drop Shoulder Cropped T-Shirt - Premium Blank,Competitor Parity,https://dtfvirginia.com/products/custom-shaka-wear-drop-shoulder-cropped-t-shirt-premium-blank,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-american-apparel-unisex-reflex-fleece-crewneck-sweatshirt-rf496,Custom American Apparel Unisex ReFlex Fleece Crewneck Sweatshirt - RF496,Competitor Parity,https://dtfvirginia.com/products/custom-american-apparel-unisex-reflex-fleece-crewneck-sweatshirt-rf496,Product category or title suggests Jesse should confirm fulfillment before publishing.
dtfva-custom-heavy-fleece-hoodie-sweatshirt-retail-blank,Custom Heavy Fleece Hoodie Sweatshirt - Retail Blank,Competitor Parity,https://dtfvirginia.com/products/custom-heavy-fleece-hoodie-sweatshirt-retail-blank,Product category or title suggests Jesse should confirm fulfillment before publishing.
